bug_id,rank
256,[3]
45,[]
117,[4]
128,[1]
18,[2]
1406,[2]
1096,[1]
1430,[1]
1202,[1]
1205,"[1, 3]"
44,[]
2,[]
10,[]
19,[2]
129,[]
1425,[]
92,[]
158,[]
135,[4]
192,[2]
1226,[]
1446,[]
1228,[3]
1441,[]
1150,[3]
1399,[1]
1151,"[1, 3]"
1389,[]
201,[2]
206,[4]
1146,[1]
1147,[]
200,[2]
209,[]
1207,[]
1299,[1]
8,[1]
71,[]
76,[]
199,[2]
54,[]
1223,[2]
1481,[2]
1224,[1]
53,[4]
130,[1]
1073,[]
101,[3]
106,[]
191,[]
162,[1]
1445,[]
198,[]
1563,[1]
1198,[]
248,[]
