bug_id,rank
2,"[17, 18]"
8,[]
10,"[62, 76, 215]"
18,"[38, 60]"
19,[]
44,[5]
45,[]
53,[]
54,[67]
71,[3]
76,[4]
92,[1]
101,[50]
106,"[80, 131]"
110,[15]
117,[]
128,"[5, 23]"
129,[]
130,[]
135,"[12, 21, 31]"
158,"[1, 9]"
160,[]
162,[]
168,[45]
191,"[14, 26]"
192,[]
198,"[3, 6]"
199,[]
200,[]
201,[]
206,[]
209,[2]
248,[160]
256,[]
1073,[9]
1096,[]
1146,[]
1147,[]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,[]
1207,[]
1214,[7]
1215,[]
1223,[]
1224,[]
1226,[71]
1228,[]
1299,[]
1389,"[4, 6, 10]"
1399,[]
1406,[]
1425,"[3, 24]"
1430,[2]
1441,[1]
1445,[24]
1446,[1]
1481,[]
1563,[]
1568,[]
1641,"[7, 31]"
1645,[1]
