bug_id,rank
2,[]
8,[1]
10,[]
18,[2]
19,[2]
44,[]
45,[]
53,[4]
54,[]
71,[]
76,[]
92,[]
101,[3]
106,[]
117,[4]
128,[1]
129,[]
130,[1]
135,[4]
158,[]
162,[1]
191,[]
192,[2]
198,[]
199,[2]
200,[2]
201,[2]
206,[4]
209,[]
248,[]
256,[3]
1073,[]
1096,[1]
1146,[1]
1147,[]
1150,[3]
1151,"[1, 3]"
1198,[]
1202,[1]
1205,"[1, 3]"
1207,[]
1223,[2]
1224,[1]
1226,[]
1228,[3]
1299,[1]
1389,[]
1399,[1]
1406,[2]
1425,[]
1430,[1]
1441,[]
1445,[]
1446,[]
1481,[2]
1563,[1]
