bug_id,rank
2,"[8, 9]"
8,[]
10,"[54, 61, 160]"
18,"[34, 43]"
19,[]
44,[4]
45,[94]
53,[]
54,[39]
71,[3]
76,"[4, 6]"
92,[1]
101,[32]
106,"[64, 95]"
110,[8]
117,[]
128,"[2, 15]"
129,[9]
130,[]
135,[10]
158,"[2, 9]"
160,[10]
162,[]
168,[]
191,[2]
192,[]
198,"[2, 4, 6]"
199,[]
200,[]
201,[]
206,[]
209,[2]
248,[139]
256,[]
1073,[9]
1096,[]
1146,[]
1147,[1]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,"[2, 3, 6, 14, 15, 18]"
1207,[6]
1214,[7]
1215,[4]
1223,[]
1224,[]
1226,[]
1228,[]
1299,[]
1389,"[2, 4, 10]"
1399,[]
1406,[]
1425,"[3, 22]"
1430,[2]
1441,[1]
1445,[13]
1446,[1]
1481,[]
1563,[]
1568,[3]
1641,"[1, 8, 14]"
1645,[1]
