bug_id,rank
2,"[8, 9]"
8,[18]
10,"[146, 149, 151]"
18,"[10, 33, 57]"
19,[3]
44,[71]
45,[117]
53,[29]
54,[40]
71,[14]
76,"[28, 33]"
92,[95]
101,"[12, 88]"
106,"[55, 90]"
117,[20]
128,"[4, 6, 36]"
129,[33]
130,[1]
135,"[14, 25]"
158,"[10, 151]"
162,[7]
191,[6]
192,[4]
198,"[10, 14, 24]"
199,[22]
200,[4]
201,[21]
206,[33]
209,[60]
248,[96]
256,[6]
1073,[106]
1096,[3]
1146,[1]
1147,[1]
1150,[17]
1151,"[3, 8]"
1198,[2]
1202,[6]
1205,"[2, 5, 13, 14, 15, 16, 17, 22]"
1207,[22]
1223,[2]
1224,[1]
1226,[]
1228,[3]
1299,[17]
1389,"[3, 10, 17]"
1399,[59]
1406,[12]
1425,"[10, 40]"
1430,"[1, 2]"
1441,[17]
1445,[62]
1446,[27]
1481,[2]
1563,[5]
