bug_id,rank
2,"[15, 16]"
8,[]
10,"[10, 28, 183]"
18,"[33, 43]"
19,[]
44,[5]
45,[]
53,[]
54,[55]
71,[4]
76,[5]
92,[1]
101,[56]
106,"[77, 129]"
110,[15]
117,[]
128,"[5, 22]"
129,[]
130,[]
135,"[18, 38, 40]"
158,"[1, 4]"
160,[]
162,[]
168,[42]
191,"[11, 22]"
192,[]
198,"[4, 6]"
199,[]
200,[]
201,[]
206,[]
209,[1]
248,[151]
256,[]
1073,[7]
1096,[]
1146,[]
1147,[]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,[]
1207,[]
1214,[7]
1215,[]
1223,[]
1224,[]
1226,[40]
1228,[]
1299,[]
1389,"[2, 7, 10]"
1399,[]
1406,[]
1425,"[6, 25]"
1430,[2]
1441,[1]
1445,[18]
1446,[1]
1481,[]
1563,[]
1568,[]
1641,"[9, 31]"
1645,[1]
