bug_id,rank
2,"[11, 12]"
8,[]
10,"[213, 215, 219]"
18,"[32, 73]"
19,[]
44,[102]
45,[188]
53,[]
54,[69]
71,[17]
76,"[36, 38]"
92,[273]
101,[325]
106,"[90, 146]"
117,[]
128,"[5, 7]"
129,[43]
130,[]
135,"[18, 26, 28]"
158,"[17, 230]"
162,[]
191,"[101, 105]"
192,[]
198,"[10, 14, 31]"
199,[]
200,[]
201,[]
206,[]
209,[94]
248,[231]
256,[]
1073,[131]
1096,[]
1146,[]
1147,[1]
1150,[]
1151,[]
1198,[1]
1202,[]
1205,"[4, 11, 12, 13, 14, 18]"
1207,[30]
1223,[]
1224,[]
1226,[123]
1228,[]
1299,[]
1389,"[2, 8, 17]"
1399,[]
1406,[]
1425,"[12, 66]"
1430,[2]
1441,[16]
1445,[90]
1446,[26]
1481,[]
1563,[]
