bug_id,rank
2,[]
8,[1]
10,[]
18,[2]
19,[2]
44,[]
45,[]
53,[1]
54,[]
71,[]
76,[]
92,[]
101,[2]
106,[]
110,[]
117,[4]
128,[1]
129,[]
130,[1]
135,[4]
158,[]
160,[]
162,[1]
168,[]
191,[]
192,[2]
198,[]
199,[2]
200,[2]
201,[1]
206,[4]
209,[]
248,[]
256,[3]
1073,[]
1096,[1]
1146,[1]
1147,[]
1150,[3]
1151,"[1, 2]"
1198,[]
1202,[1]
1205,"[1, 2]"
1207,[]
1214,[]
1215,[]
1223,[1]
1224,[1]
1226,[]
1228,[3]
1299,[2]
1389,[]
1399,[1]
1406,[2]
1425,[]
1430,[1]
1441,[]
1445,[]
1446,[]
1481,[1]
1563,[1]
1568,[]
1641,[]
1645,[]
