bug_id,rank
2,"[21, 22]"
8,[]
10,"[113, 115, 116]"
18,"[34, 59]"
19,[]
44,[69]
45,[]
53,[]
54,[41]
71,[14]
76,[34]
92,[94]
101,[24]
106,"[44, 78]"
117,[]
128,"[8, 9]"
129,[]
130,[]
135,[9]
158,"[10, 146]"
160,[]
162,[]
168,[]
191,[6]
192,[]
198,"[4, 7]"
199,[]
200,[]
201,[]
206,[]
209,[6]
248,[75]
256,[]
1073,[104]
1096,[]
1146,[]
1147,[]
1150,[]
1151,[]
1198,[2]
1202,[]
1205,[]
1207,[]
1214,[8]
1215,[]
1223,[]
1224,[]
1226,[]
1228,[]
1299,[]
1389,"[1, 10, 14]"
1399,[]
1406,[]
1425,"[6, 17]"
1430,[1]
1441,[8]
1445,[65]
1446,[23]
1481,[]
1563,[]
1568,[]
1641,[]
1645,[4]
